SESSION_NAME,STEP_NAME,NUM_FILES_PRODUCED,NUM_FILES_PRODUCED_ORIG,THIS_TIME,STARTINGTIME
IBIO_0001_CT_1,infarct_biomarker,5,4,2024-02-23 16:04:41+00:00,2024-02-23 15:08:06
IBIO_0201_CT_1,infarct_biomarker,112,111,2024-04-17 15:17:12+00:00,2024-04-17 15:08:06
IBIO_0347_CT_3,infarct_biomarker,102,154,2024-04-19 12:22:49+00:00,2024-04-18 15:08:06
IBIO_0359_CT_1,infarct_biomarker,53,52,2024-04-19 15:08:11+00:00,2024-04-19 15:08:06
IBIO_0456_CT_1,infarct_biomarker,54,53,2024-05-10 16:52:50+00:00,2024-05-10 15:08:06
IBIO_0506_CT_1,infarct_biomarker,154,153,2024-05-13 16:13:07+00:00,2024-05-13 15:08:06
IBIO_0714_CT_1,infarct_biomarker,254,255,2024-05-15 22:20:22+00:00,2024-05-15 15:08:06
IBIO_0032_CT_3,infarct_biomarker,2,1,2024-05-16 16:24:41+00:00,2024-05-16 15:08:06
IBIO_0715_CT_1,infarct_biomarker,2,1,2024-04-08 15:14:43+00:00,2024-04-08 15:08:06
IBIO_0039_CT_1,infarct_biomarker,184,183,2024-05-17 17:31:55+00:00,2024-05-17 15:08:06
IBIO_0048_CT_2,infarct_biomarker,1,0,2024-05-21 18:47:29+00:00,2024-05-21 15:08:06
IBIO_0060_CT_1,infarct_biomarker,4,3,2024-05-24 20:38:13+00:00,2024-05-24 15:08:06
IBIO_0076_CT_1,infarct_biomarker,3,27,2024-05-29 14:28:38+00:00,2024-05-28 15:08:06
IBIO_0082_CT_1,infarct_biomarker,25,24,2024-05-29 15:10:24+00:00,2024-05-29 15:08:06
IBIO_0105_CT_1,infarct_biomarker,14,14,2024-05-30 17:06:34+00:00,2024-05-30 15:08:06
IBIO_0026_CT_3,infarct_biomarker,163,162,2024-05-31 16:47:24+00:00,2024-05-31 15:08:06
IBIO_0559_CT_1,infarct_biomarker,4,3,2024-06-07 19:43:12+00:00,2024-06-07 15:08:06
IBIO_0045_CT_1,infarct_biomarker,1,1,2024-05-20 20:33:02+00:00,2024-05-20 15:08:06
IBIO_0020_CT_3,infarct_biomarker,2,3,2024-04-08 14:59:39+00:00,2024-04-07 15:08:06
IBIO_0026_CT_1,infarct_biomarker,1,6,2024-05-14 22:37:05+00:00,2024-05-14 15:08:06
IBIO_0142_CT_2,infarct_biomarker,3,2,2024-06-10 15:30:39+00:00,2024-06-10 15:08:06
IBIO_0013_CT_1,infarct_biomarker,2,1,2024-04-06 05:35:11+00:00,2024-04-05 15:08:06
IBIO_0054_CT_1,infarct_biomarker,2,1,2024-04-07 05:38:49+00:00,2024-04-06 15:08:06
IBIO_0014_CT_1,infarct_biomarker,85,84,2024-03-12 17:46:22+00:00,2024-03-12 15:08:06
IBIO_0005_CT_1,infarct_biomarker,6,5,2024-02-26 17:26:34+00:00,2024-02-26 15:08:06
IBIO_0014_CT_1,postprocessing,84,83,2024-03-12 16:33:26+00:00,2024-03-12 15:08:06
IBIO_0115_CT_1,postprocessing,1,1,2024-06-10 15:01:47+00:00,2024-06-09 15:08:06
IBIO_0026_CT_1,postprocessing,1,266,2024-05-14 22:19:36+00:00,2024-05-14 15:08:06
IBIO_0718_CT_1,postprocessing,322,441,2024-05-15 16:58:17+00:00,2024-05-15 15:08:06
IBIO_0039_CT_1,postprocessing,1,0,2024-05-17 17:16:11+00:00,2024-05-17 15:08:06
IBIO_0045_CT_1,postprocessing,1,1,2024-05-20 20:16:40+00:00,2024-05-20 15:08:06
IBIO_0048_CT_2,postprocessing,1,0,2024-05-21 18:30:11+00:00,2024-05-21 15:08:06
IBIO_0558_CT_3,postprocessing,211,210,2024-05-09 20:13:14+00:00,2024-05-09 15:08:06
IBIO_0060_CT_1,postprocessing,4,3,2024-05-24 20:27:20+00:00,2024-05-24 15:08:06
IBIO_0076_CT_1,postprocessing,4,28,2024-05-29 14:11:37+00:00,2024-05-28 15:08:06
IBIO_0087_CT_2,postprocessing,25,24,2024-05-29 16:08:01+00:00,2024-05-29 15:08:06
IBIO_0001_CT_1,postprocessing,5,4,2024-02-23 15:49:54+00:00,2024-02-23 15:08:06
IBIO_0093_CT_1,postprocessing,5,9,2024-05-30 17:28:04+00:00,2024-05-30 15:08:06
IBIO_0026_CT_3,postprocessing,6,5,2024-05-31 16:37:03+00:00,2024-05-31 15:08:06
IBIO_0145_CT_2,postprocessing,4,3,2024-06-07 19:26:23+00:00,2024-06-07 15:08:06
IBIO_0009_CT_2,postprocessing,8,7,2024-02-26 17:05:42+00:00,2024-02-26 15:08:06
IBIO_0160_CT_2,postprocessing,20,19,2024-05-01 13:54:32+00:00,2024-04-30 15:08:06
IBIO_1116_CT_1,postprocessing,120,119,2024-05-16 15:08:36+00:00,2024-05-16 15:08:06
IBIO_0128_CT_1,postprocessing,42,41,2024-04-19 15:09:57+00:00,2024-04-19 15:08:06
IBIO_0276_CT_3,postprocessing,115,179,2024-04-16 21:52:20+00:00,2024-04-16 15:08:06
IBIO_0054_CT_1,postprocessing,2,1,2024-04-07 05:20:14+00:00,2024-04-06 15:08:06
IBIO_0109_CT_1,postprocessing,123,164,2024-04-19 12:06:15+00:00,2024-04-18 15:08:06
IBIO_0020_CT_3,postprocessing,4,3,2024-04-08 14:43:38+00:00,2024-04-07 15:08:06
IBIO_0360_CT_4,postprocessing,164,163,2024-04-17 18:58:12+00:00,2024-04-17 15:08:06
IBIO_0013_CT_1,postprocessing,2,1,2024-04-06 05:19:33+00:00,2024-04-05 15:08:06
IBIO_0014_CT_1,preprocessing,72,71,2024-03-11 18:47:36+00:00,2024-03-11 15:08:06
IBIO_0045_CT_1,preprocessing,1,2,2024-05-20 20:09:12+00:00,2024-05-20 15:08:06
IBIO_0093_CT_1,preprocessing,4,8,2024-05-30 17:20:53+00:00,2024-05-30 15:08:06
IBIO_0047_CT_2,preprocessing,2,1,2024-05-21 18:05:18+00:00,2024-05-21 15:08:06
IBIO_0049_CT_4,preprocessing,5,6,2024-05-23 20:41:08+00:00,2024-05-23 15:08:06
IBIO_0015_CT_1,preprocessing,29,28,2024-02-29 22:18:20+00:00,2024-02-29 15:08:06
IBIO_0087_CT_2,preprocessing,19,18,2024-05-29 15:54:21+00:00,2024-05-29 15:08:06
IBIO_0037_CT_3,preprocessing,465,510,2024-04-08 17:23:04+00:00,2024-04-08 15:08:06
IBIO_0060_CT_1,preprocessing,5,4,2024-05-24 20:21:13+00:00,2024-05-24 15:08:06
IBIO_0652_CT_1,preprocessing,561,561,2024-04-09 15:09:43+00:00,2024-04-09 15:08:06
IBIO_0699_CT_3,preprocessing,129,128,2024-04-10 15:09:19+00:00,2024-04-10 15:08:06
IBIO_0050_CT_2,preprocessing,1,5,2024-05-23 14:45:28+00:00,2024-05-22 15:08:06
IBIO_0038_CT_1,preprocessing,3,2,2024-05-17 17:03:50+00:00,2024-05-17 15:08:06
IBIO_0076_CT_1,preprocessing,7,25,2024-05-29 14:04:47+00:00,2024-05-28 15:08:06
IBIO_0054_CT_1,preprocessing,2,1,2024-04-07 05:13:29+00:00,2024-04-06 15:08:06
IBIO_0169_CT_1,preprocessing,202,201,2024-03-29 19:00:20+00:00,2024-03-29 15:08:06
IBIO_0441_CT_3,preprocessing,3,2,2024-05-10 18:43:33+00:00,2024-05-10 15:08:06
IBIO_0016_CT_1,preprocessing,1,3,2024-05-13 22:46:20+00:00,2024-05-13 15:08:06
IBIO_0097_CT_4,preprocessing,2,1,2024-06-07 19:47:31+00:00,2024-06-07 15:08:06
IBIO_0027_CT_1,preprocessing,3,2,2024-05-14 22:09:54+00:00,2024-05-14 15:08:06
IBIO_0003_CT_2,preprocessing,9,8,2024-02-26 16:43:35+00:00,2024-02-26 15:08:06
IBIO_0013_CT_1,preprocessing,2,1,2024-04-06 05:12:02+00:00,2024-04-05 15:08:06
IBIO_0001_CT_1,preprocessing,5,4,2024-02-23 15:44:06+00:00,2024-02-23 15:08:06
IBIO_0026_CT_3,preprocessing,95,94,2024-05-31 16:30:25+00:00,2024-05-31 15:08:06
IBIO_0032_CT_3,preprocessing,1,0,2024-05-16 16:02:24+00:00,2024-05-16 15:08:06
IBIO_0020_CT_3,preprocessing,3,453,2024-04-08 14:36:43+00:00,2024-04-07 15:08:06
IBIO_0026_CT_3,segmentation,6,5,2024-05-31 16:35:16+00:00,2024-05-31 15:08:06
IBIO_0087_CT_2,segmentation,23,22,2024-05-29 16:05:22+00:00,2024-05-29 15:08:06
IBIO_0122_CT_1,segmentation,1,0,2024-06-07 22:03:31+00:00,2024-06-07 15:08:06
IBIO_0001_CT_1,segmentation,5,4,2024-02-23 15:48:08+00:00,2024-02-23 15:08:06
IBIO_0094_CT_1,segmentation,5,6,2024-05-30 17:18:32+00:00,2024-05-30 15:08:06
IBIO_0020_CT_3,segmentation,3,2,2024-04-08 14:41:56+00:00,2024-04-07 15:08:06
IBIO_0097_CT_4,segmentation,1,0,2024-06-10 15:05:30+00:00,2024-06-09 15:08:06
IBIO_0506_CT_1,segmentation,107,106,2024-05-01 16:08:44+00:00,2024-05-01 15:08:06
IBIO_0048_CT_2,segmentation,1,0,2024-05-21 18:27:55+00:00,2024-05-21 15:08:06
IBIO_0060_CT_1,segmentation,4,3,2024-05-24 20:25:29+00:00,2024-05-24 15:08:06
IBIO_0600_CT_1,segmentation,136,234,2024-05-09 20:11:43+00:00,2024-05-09 15:08:06
IBIO_0706_CT_3,segmentation,112,111,2024-05-10 15:44:09+00:00,2024-05-10 15:08:06
IBIO_0889_CT_2,segmentation,112,111,2024-05-13 16:19:14+00:00,2024-05-13 15:08:06
IBIO_0196_CT_1,segmentation,135,134,2024-04-18 15:08:11+00:00,2024-04-18 15:08:06
IBIO_0026_CT_1,segmentation,1,128,2024-05-14 22:17:24+00:00,2024-05-14 15:08:06
IBIO_0904_CT_1,segmentation,306,306,2024-05-15 16:58:21+00:00,2024-05-15 15:08:06
IBIO_0413_CT_1,segmentation,178,280,2024-04-17 16:52:27+00:00,2024-04-17 15:08:06
IBIO_0012_CT_1,segmentation,96,95,2024-03-12 13:14:51+00:00,2024-03-11 15:08:06
IBIO_0032_CT_3,segmentation,2,1,2024-05-16 16:07:27+00:00,2024-05-16 15:08:06
IBIO_0039_CT_1,segmentation,1,0,2024-05-17 17:14:15+00:00,2024-05-17 15:08:06
IBIO_0013_CT_1,segmentation,2,1,2024-04-06 05:17:27+00:00,2024-04-05 15:08:06
IBIO_0045_CT_1,segmentation,1,1,2024-05-20 20:14:31+00:00,2024-05-20 15:08:06
IBIO_0064_CT_2,segmentation,232,294,2024-04-16 18:44:54+00:00,2024-04-16 15:08:06
IBIO_0134_CT_5,segmentation,3,109,2024-05-01 13:48:42+00:00,2024-04-30 15:08:06
IBIO_0270_CT_1,segmentation,16,15,2024-04-15 17:09:36+00:00,2024-04-15 15:08:06
IBIO_0042_CT_1,segmentation,5,4,2024-05-23 20:03:06+00:00,2024-05-23 15:08:06
IBIO_0003_CT_2,segmentation,9,8,2024-02-26 16:53:50+00:00,2024-02-26 15:08:06
IBIO_0076_CT_1,segmentation,4,26,2024-05-29 14:09:13+00:00,2024-05-28 15:08:06
IBIO_0054_CT_1,segmentation,2,1,2024-04-07 05:18:24+00:00,2024-04-06 15:08:06
